Date,Duration,Label
1536239360,1,2018-09-06 16:09:21 +0300
1536317812,1,2018-09-07 13:56:53 +0300
1536330030,2,2018-09-07 17:20:32 +0300
1536483782,2,2018-09-09 12:03:04 +0300
1536512575,2,2018-09-09 20:02:57 +0300
1536537155,2,2018-09-10 02:52:37 +0300
1536561708,2,2018-09-10 09:41:50 +0300
1536562828,1,2018-09-10 10:00:29 +0300
1536606866,2,2018-09-10 22:14:28 +0300
1536626606,1,2018-09-11 03:43:27 +0300
1536721515,1,2018-09-12 06:05:16 +0300
1536747305,2,2018-09-12 13:15:07 +0300
1536877611,2,2018-09-14 01:26:53 +0300
1536922025,2,2018-09-14 13:47:07 +0300
1537029425,1,2018-09-15 19:37:06 +0300
1537099003,2,2018-09-16 14:56:45 +0300
1537121908,0,2018-09-16 21:18:28 +0300
1537419911,2,2018-09-20 08:05:13 +0300
1537462625,2,2018-09-20 19:57:07 +0300
1537488877,2,2018-09-21 03:14:39 +0300
1537495027,2,2018-09-21 04:57:09 +0300
1537505524,2,2018-09-21 07:52:06 +0300
1537591228,2,2018-09-22 07:40:30 +0300
1537630293,1,2018-09-22 18:31:34 +0300
1537638410,1,2018-09-22 20:46:51 +0300
1537710105,2,2018-09-23 16:41:47 +0300
1537717876,2,2018-09-23 18:51:18 +0300
1537746029,1,2018-09-24 02:40:30 +0300
1537768390,1,2018-09-24 08:53:11 +0300
1537817313,2,2018-09-24 22:28:35 +0300
1537878867,1,2018-09-25 15:34:28 +0300
1537886476,1,2018-09-25 17:41:17 +0300
1537967230,2,2018-09-26 16:07:12 +0300
1538039471,2,2018-09-27 12:11:13 +0300
1538056861,1,2018-09-27 17:01:02 +0300
1538082841,1,2018-09-28 00:14:02 +0300
1538113430,1,2018-09-28 08:43:51 +0300
1538115395,1,2018-09-28 09:16:36 +0300
1538126537,2,2018-09-28 12:22:19 +0300
1538228982,2,2018-09-29 16:49:44 +0300
1538241731,1,2018-09-29 20:22:12 +0300
1538338080,2,2018-09-30 23:08:02 +0300
1538408952,2,2018-10-01 18:49:14 +0300
1538449531,2,2018-10-02 06:05:33 +0300
1538486998,1,2018-10-02 16:29:59 +0300
1538497810,2,2018-10-02 19:30:12 +0300
1538503061,1,2018-10-02 20:57:42 +0300
1538512290,2,2018-10-02 23:31:32 +0300
1538553703,1,2018-10-03 11:01:44 +0300
